order,M,K,N,rep,time_ns
ijk,512,512,512,1,415822562
ijk,512,512,512,2,415835424
ijk,512,512,512,3,416007884
ijk,512,512,512,4,415806788
ijk,512,512,512,5,415796622
ijk,512,512,512,6,415806046
ijk,512,512,512,7,415875656
ijk,512,512,512,8,415797620
ijk,512,512,512,9,415814630
ijk,512,512,512,10,415823234
ijk,512,512,512,11,415806776
ijk,512,512,512,12,415864812
ijk,512,512,512,13,415823170
ijk,512,512,512,14,415796426
ikj,512,512,512,0,74618006
ikj,512,512,512,1,75023226
ikj,512,512,512,2,75093374
ikj,512,512,512,3,75099628
ikj,512,512,512,4,74810622
ikj,512,512,512,5,74499868
ikj,512,512,512,6,74490496
ikj,512,512,512,7,75001476
ikj,512,512,512,8,74723790
ikj,512,512,512,9,74666416
ikj,512,512,512,10,74648722
ikj,512,512,512,11,74590410
ikj,512,512,512,12,74999540
ikj,512,512,512,13,74889588
ikj,512,512,512,14,74786540
jik,512,512,512,0,446346040
jik,512,512,512,1,446391300
jik,512,512,512,2,446316910
jik,512,512,512,3,446365424
jik,512,512,512,4,446333974
jik,512,512,512,5,446361546
jik,512,512,512,6,446358884
jik,512,512,512,7,446345702
jik,512,512,512,8,446338156
jik,512,512,512,9,446339750
jik,512,512,512,10,446351572
jik,512,512,512,11,446373032
jik,512,512,512,12,446359232
jik,512,512,512,13,446349976
jik,512,512,512,14,446394738
jki,512,512,512,0,868006280
jki,512,512,512,1,867978580
jki,512,512,512,2,867963206
jki,512,512,512,3,867966718
jki,512,512,512,4,867978698
jki,512,512,512,5,867995904
jki,512,512,512,6,868033888
jki,512,512,512,7,868014106
jki,512,512,512,8,868015030
jki,512,512,512,9,867999132
jki,512,512,512,10,868002332
jki,512,512,512,11,868022572
jki,512,512,512,12,867971600
jki,512,512,512,13,868045272
jki,512,512,512,14,868012430
kij,512,512,512,0,78045212
kij,512,512,512,1,78037746
kij,512,512,512,2,78125628
kij,512,512,512,3,78027224
kij,512,512,512,4,78127008
kij,512,512,512,5,78042744
kij,512,512,512,6,78135288
kij,512,512,512,7,78051864
kij,512,512,512,8,78116550
kij,512,512,512,9,78040516
kij,512,512,512,10,78138484
kij,512,512,512,11,78028814
kij,512,512,512,12,78037964
kij,512,512,512,13,78026748
kij,512,512,512,14,78035084
kji,512,512,512,0,870347308
kji,512,512,512,1,870387524
kji,512,512,512,2,870293006
kji,512,512,512,3,870323136
kji,512,512,512,4,870312532
kji,512,512,512,5,870357794
kji,512,512,512,6,870333690
kji,512,512,512,7,870378762
kji,512,512,512,8,870346030
kji,512,512,512,9,870346184
kji,512,512,512,10,870368994
kji,512,512,512,11,870342368
kji,512,512,512,12,870302592
kji,512,512,512,13,870333316
kji,512,512,512,14,870330042
ijk,1024,1024,1024,0,3101876008
ijk,1024,1024,1024,1,3101444060
ijk,1024,1024,1024,2,3101297784
ijk,1024,1024,1024,3,3101233024
ijk,1024,1024,1024,4,3101322780
ijk,1024,1024,1024,5,3101170088
ijk,1024,1024,1024,6,3101277894
ijk,1024,1024,1024,7,3101176368
ijk,1024,1024,1024,8,3101216950
ijk,1024,1024,1024,9,3101537024
ikj,1024,1024,1024,0,591929996
ikj,1024,1024,1024,1,592400010
ikj,1024,1024,1024,2,592466934
ikj,1024,1024,1024,3,592283526
ikj,1024,1024,1024,4,592317994
ikj,1024,1024,1024,5,592391808
ikj,1024,1024,1024,6,592246680
ikj,1024,1024,1024,7,591361494
ikj,1024,1024,1024,8,592524332
ikj,1024,1024,1024,9,591866138
jik,1024,1024,1024,0,3300829756
jik,1024,1024,1024,1,3300671452
jik,1024,1024,1024,2,3301048700
jik,1024,1024,1024,3,3304089964
jik,1024,1024,1024,4,3309370920
jik,1024,1024,1024,5,3308328538
jik,1024,1024,1024,6,3308219890
jik,1024,1024,1024,7,3303445402
jik,1024,1024,1024,8,3763845486
jik,1024,1024,1024,9,3665948312
jki,1024,1024,1024,0,6882836286
jki,1024,1024,1024,1,6774444318
jki,1024,1024,1024,2,6814518624
jki,1024,1024,1024,3,6748790798
jki,1024,1024,1024,4,6804389604
jki,1024,1024,1024,5,6797142136
jki,1024,1024,1024,6,6777922672
jki,1024,1024,1024,7,6781595472
jki,1024,1024,1024,8,6896109336
jki,1024,1024,1024,9,6735241950
kij,1024,1024,1024,0,625446048
kij,1024,1024,1024,1,625773432
kij,1024,1024,1024,2,623809052
kij,1024,1024,1024,3,624313100
kij,1024,1024,1024,4,624977392
kij,1024,1024,1024,5,626038376
kij,1024,1024,1024,6,624452158
kij,1024,1024,1024,7,625510644
kij,1024,1024,1024,8,624879260
kij,1024,1024,1024,9,625632994
kji,1024,1024,1024,0,6753317044
kji,1024,1024,1024,1,6761901704
kji,1024,1024,1024,2,6769329302
kji,1024,1024,1024,3,6758184750
kji,1024,1024,1024,4,6795458800
kji,1024,1024,1024,5,6770679006
kji,1024,1024,1024,6,6819807598
kji,1024,1024,1024,7,6776383870
kji,1024,1024,1024,8,6769856450
kji,1024,1024,1024,9,6784351290
ijk,512,1024,256,0,413606878
ijk,512,1024,256,1,417399786
ijk,512,1024,256,2,417009068
ijk,512,1024,256,3,416945940
ijk,512,1024,256,4,416934796
ijk,512,1024,256,5,416922008
ijk,512,1024,256,6,416947096
ijk,512,1024,256,7,416978882
ijk,512,1024,256,8,416953812
ijk,512,1024,256,9,416959528
ijk,512,1024,256,10,416952972
ijk,512,1024,256,11,416964822
ijk,512,1024,256,12,416955608
ijk,512,1024,256,13,416967288
ijk,512,1024,256,14,416958836
ikj,512,1024,256,0,76256180
ikj,512,1024,256,1,75714258
ikj,512,1024,256,2,76514056
ikj,512,1024,256,3,76764228
ikj,512,1024,256,4,76776426
ikj,512,1024,256,5,76683836
ikj,512,1024,256,6,76393560
ikj,512,1024,256,7,76782316
ikj,512,1024,256,8,76693112
ikj,512,1024,256,9,76645996
ikj,512,1024,256,10,76664164
ikj,512,1024,256,11,76683106
ikj,512,1024,256,12,76679526
ikj,512,1024,256,13,76685742
ikj,512,1024,256,14,76677842
jik,512,1024,256,0,445389316
jik,512,1024,256,1,445365480
jik,512,1024,256,2,445392764
jik,512,1024,256,3,445375334
jik,512,1024,256,4,445401200
jik,512,1024,256,5,445352520
jik,512,1024,256,6,445427272
