variant,input,n,rep,time_ns
shared,E,100000000,8,2854988576
shared,E,100000000,9,2858086668
stdsort,E,100000000,0,1624286004
stdsort,E,100000000,1,1622846372
stdsort,E,100000000,2,1622470816
stdsort,E,100000000,3,1620753194
stdsort,E,100000000,4,1622877160
stdsort,E,100000000,5,1622733672
stdsort,E,100000000,6,1623044384
stdsort,E,100000000,7,1622007558
stdsort,E,100000000,8,1622395148
stdsort,E,100000000,9,1622311888
qsort,E,100000000,0,4090732780
qsort,E,100000000,1,4090481814
qsort,E,100000000,2,4092238256
qsort,E,100000000,3,4091793720
qsort,E,100000000,4,4091075312
qsort,E,100000000,5,4090521352
qsort,E,100000000,6,4090847028
qsort,E,100000000,7,4090166068
qsort,E,100000000,8,4090874314
qsort,E,100000000,9,4090828902
