graph,src,rep,time_ns,edges,levels,reached
er,718731,1,130512634,16777216,8,1048575
er,718731,2,130454904,16777216,8,1048575
er,718731,3,130326126,16777216,8,1048575
er,718731,4,130481836,16777216,8,1048575
er,718731,5,130398894,16777216,8,1048575
er,718731,6,130412328,16777216,8,1048575
er,718731,7,130493916,16777216,8,1048575
er,718731,8,130459860,16777216,8,1048575
er,718731,9,130517892,16777216,8,1048575
er,845783,0,131213244,16777216,8,1048575
er,845783,1,130480332,16777216,8,1048575
er,845783,2,130487872,16777216,8,1048575
er,845783,3,130490034,16777216,8,1048575
er,845783,4,130513858,16777216,8,1048575
er,845783,5,130513370,16777216,8,1048575
er,845783,6,130511714,16777216,8,1048575
er,845783,7,130491136,16777216,8,1048575
er,845783,8,130545008,16777216,8,1048575
er,845783,9,130487548,16777216,8,1048575
er,820151,0,131130222,16777216,8,1048575
er,820151,1,130422534,16777216,8,1048575
er,820151,2,130539654,16777216,8,1048575
er,820151,3,130476714,16777216,8,1048575
er,820151,4,130425710,16777216,8,1048575
er,820151,5,130374388,16777216,8,1048575
er,820151,6,130413288,16777216,8,1048575
er,820151,7,130502570,16777216,8,1048575
er,820151,8,130464054,16777216,8,1048575
er,820151,9,130515224,16777216,8,1048575
rmat,469821,0,71591806,16776298,7,553024
rmat,469821,1,70165506,16776298,7,553024
rmat,469821,2,69863142,16776298,7,553024
rmat,469821,3,69884286,16776298,7,553024
rmat,469821,4,69816492,16776298,7,553024
rmat,469821,5,69774096,16776298,7,553024
rmat,469821,6,69853948,16776298,7,553024
rmat,469821,7,69802704,16776298,7,553024
rmat,469821,8,69827372,16776298,7,553024
rmat,469821,9,69788612,16776298,7,553024
rmat,123751,0,71570344,16776298,7,553024
rmat,123751,1,69757932,16776298,7,553024
rmat,123751,2,69844236,16776298,7,553024
rmat,123751,3,69723610,16776298,7,553024
rmat,123751,4,69695922,16776298,7,553024
rmat,123751,5,69769348,16776298,7,553024
rmat,123751,6,69713936,16776298,7,553024
rmat,123751,7,69760728,16776298,7,553024
rmat,123751,8,69747194,16776298,7,553024
rmat,123751,9,69564104,16776298,7,553024
rmat,886323,0,71444456,16776298,7,553024
rmat,886323,1,69883046,16776298,7,553024
rmat,886323,2,69815748,16776298,7,553024
rmat,886323,3,69818686,16776298,7,553024
rmat,886323,4,69608378,16776298,7,553024
rmat,886323,5,69712926,16776298,7,553024
rmat,886323,6,70108160,16776298,7,553024
rmat,886323,7,69834600,16776298,7,553024
rmat,886323,8,69903458,16776298,7,553024
rmat,886323,9,69843576,16776298,7,553024
rmat,611713,0,71618528,16776298,7,553024
rmat,611713,1,70019270,16776298,7,553024
rmat,611713,2,70039226,16776298,7,553024
rmat,611713,3,69910626,16776298,7,553024
rmat,611713,4,70082896,16776298,7,553024
rmat,611713,5,70026344,16776298,7,553024
rmat,611713,6,70084960,16776298,7,553024
rmat,611713,7,69995170,16776298,7,553024
rmat,611713,8,70058460,16776298,7,553024
rmat,611713,9,70022758,16776298,7,553024
rmat,350429,0,71502570,16776298,7,553024
rmat,350429,1,69940480,16776298,7,553024
rmat,350429,2,69995884,16776298,7,553024
rmat,350429,3,69937960,16776298,7,553024
rmat,350429,4,70011376,16776298,7,553024
rmat,350429,5,69941334,16776298,7,553024
rmat,350429,6,69974530,16776298,7,553024
rmat,350429,7,69981268,16776298,7,553024
rmat,350429,8,69954322,16776298,7,553024
rmat,350429,9,70038080,16776298,7,553024
rmat,664066,0,71649516,16776298,7,553024
rmat,664066,1,70011710,16776298,7,553024
rmat,664066,2,69960336,16776298,7,553024
rmat,664066,3,69916778,16776298,7,553024
rmat,664066,4,69990678,16776298,7,553024
rmat,664066,5,69961292,16776298,7,553024
rmat,664066,6,70038892,16776298,7,553024
rmat,664066,7,69919374,16776298,7,553024
rmat,664066,8,70235680,16776298,7,553024
rmat,664066,9,69869056,16776298,7,553024
rmat,787258,0,71492356,16776298,7,553024
rmat,787258,1,69876388,16776298,7,553024
rmat,787258,2,69969880,16776298,7,553024
rmat,787258,3,70017616,16776298,7,553024
rmat,787258,4,69902510,16776298,7,553024
rmat,787258,5,70062438,16776298,7,553024
rmat,787258,6,69895074,16776298,7,553024
rmat,787258,7,69823876,16776298,7,553024
rmat,787258,8,69926914,16776298,7,553024
rmat,787258,9,69985396,16776298,7,553024
rmat,316206,0,71478556,16776298,7,553024
rmat,316206,1,69878600,16776298,7,553024
rmat,316206,2,69820986,16776298,7,553024
rmat,316206,3,69773202,16776298,7,553024
rmat,316206,4,69683140,16776298,7,553024
rmat,316206,5,69837666,16776298,7,553024
rmat,316206,6,69797644,16776298,7,553024
rmat,316206,7,69835082,16776298,7,553024
rmat,316206,8,69724938,16776298,7,553024
rmat,316206,9,69807032,16776298,7,553024
rmat,488273,0,71586888,16776298,7,553024
rmat,488273,1,69883930,16776298,7,553024
rmat,488273,2,69806068,16776298,7,553024
rmat,488273,3,69587324,16776298,7,553024
rmat,488273,4,69846950,16776298,7,553024
rmat,488273,5,69712398,16776298,7,553024
rmat,488273,6,69781700,16776298,7,553024
rmat,488273,7,69815294,16776298,7,553024
rmat,488273,8,69859868,16776298,7,553024
rmat,488273,9,69826804,16776298,7,553024
rmat,950178,0,71696926,16776298,7,553024
rmat,950178,1,70073318,16776298,7,553024
rmat,950178,2,70048152,16776298,7,553024
rmat,950178,3,70014968,16776298,7,553024
rmat,950178,4,70098084,16776298,7,553024
rmat,950178,5,70084912,16776298,7,553024
rmat,950178,6,70042846,16776298,7,553024
rmat,950178,7,70165942,16776298,7,553024
rmat,950178,8,69882980,16776298,7,553024
rmat,950178,9,70031736,16776298,7,553024
rmat,563509,0,71428380,16776298,7,553024
rmat,563509,1,70021428,16776298,7,553024
rmat,563509,2,69870868,16776298,7,553024
rmat,563509,3,69835432,16776298,7,553024
rmat,563509,4,70031096,16776298,7,553024
rmat,563509,5,69937304,16776298,7,553024
rmat,563509,6,69851788,16776298,7,553024
rmat,563509,7,70106358,16776298,7,553024
rmat,563509,8,69969500,16776298,7,553024
rmat,563509,9,70062440,16776298,7,553024
rmat,402394,0,71444202,16776298,6,553024
rmat,402394,1,69949150,16776298,6,553024
rmat,402394,2,69813352,16776298,6,553024
rmat,402394,3,69811518,16776298,6,553024
rmat,402394,4,69775556,16776298,6,553024
rmat,402394,5,69684460,16776298,6,553024
rmat,402394,6,69772018,16776298,6,553024
rmat,402394,7,69706662,16776298,6,553024
rmat,402394,8,69743174,16776298,6,553024
rmat,402394,9,69677898,16776298,6,553024
rmat,759250,0,71616536,16776298,7,553024
rmat,759250,1,70002688,16776298,7,553024
rmat,759250,2,69907454,16776298,7,553024
rmat,759250,3,69947784,16776298,7,553024
rmat,759250,4,69848064,16776298,7,553024
rmat,759250,5,69905556,16776298,7,553024
rmat,759250,6,69977572,16776298,7,553024
rmat,759250,7,69924152,16776298,7,553024
rmat,759250,8,69969306,16776298,7,553024
rmat,759250,9,69921958,16776298,7,553024
rmat,919191,0,71574562,16776298,7,553024
rmat,919191,1,69921658,16776298,7,553024
rmat,919191,2,69827200,16776298,7,553024
rmat,919191,3,69848488,16776298,7,553024
rmat,919191,4,69845098,16776298,7,553024
rmat,919191,5,69764326,16776298,7,553024
rmat,919191,6,69767726,16776298,7,553024
rmat,919191,7,69797048,16776298,7,553024
rmat,919191,8,69854070,16776298,7,553024
rmat,919191,9,69798368,16776298,7,553024
rmat,367578,0,71561996,16776298,8,553024
rmat,367578,1,70074806,16776298,8,553024
rmat,367578,2,69897290,16776298,8,553024
rmat,367578,3,69814500,16776298,8,553024
rmat,367578,4,69756364,16776298,8,553024
rmat,367578,5,69875506,16776298,8,553024
rmat,367578,6,69969638,16776298,8,553024
rmat,367578,7,69787180,16776298,8,553024
rmat,367578,8,69895894,16776298,8,553024
rmat,367578,9,69907896,16776298,8,553024
rmat,809300,0,71578470,16776298,7,553024
rmat,809300,1,69932734,16776298,7,553024
rmat,809300,2,69884512,16776298,7,553024
rmat,809300,3,69718978,16776298,7,553024
rmat,809300,4,69871496,16776298,7,553024
rmat,809300,5,69846868,16776298,7,553024
rmat,809300,6,69798662,16776298,7,553024
rmat,809300,7,69847298,16776298,7,553024
rmat,809300,8,69729366,16776298,7,553024
rmat,809300,9,69921714,16776298,7,553024
