opt,type,n,rep,time_ns
O2, int, 10000000, 20, 5587628
O2, int, 10000000, 20, 5631944
O2, int, 100000000, 15, 56681098
O2, int, 100000000, 15, 55915830
O2, int, 100000000, 15, 55931448
O2, int, 100000000, 15, 55890720
O2, int, 100000000, 15, 57332464
O2, int, 100000000, 15, 56780870
O2, int, 100000000, 15, 56050464
O2, int, 100000000, 15, 56420422
O2, int, 100000000, 15, 55884524
O2, int, 100000000, 15, 58084700
O2, int, 100000000, 15, 56732260
O2, int, 100000000, 15, 55931918
O2, int, 100000000, 15, 56702168
O2, int, 100000000, 15, 55903988
O2, int, 100000000, 15, 55907090
O2, double, 1000000, 30, 1107304
O2, double, 1000000, 30, 1103204
O2, double, 1000000, 30, 1104004
O2, double, 1000000, 30, 1103476
O2, double, 1000000, 30, 1106096
O2, double, 1000000, 30, 1111604
O2, double, 1000000, 30, 1109616
O2, double, 1000000, 30, 1107064
O2, double, 1000000, 30, 1104962
O2, double, 1000000, 30, 1107268
O2, double, 1000000, 30, 1107780
O2, double, 1000000, 30, 1104542
O2, double, 1000000, 30, 1104910
O2, double, 1000000, 30, 1107342
O2, double, 1000000, 30, 1103144
O2, double, 1000000, 30, 1101536
O2, double, 1000000, 30, 1104838
O2, double, 1000000, 30, 1105398
O2, double, 1000000, 30, 1107386
O2, double, 1000000, 30, 1107926
O2, double, 1000000, 30, 1104592
O2, double, 1000000, 30, 1105660
O2, double, 1000000, 30, 1104378
O2, double, 1000000, 30, 1105094
O2, double, 1000000, 30, 1113432
O2, double, 1000000, 30, 1104422
O2, double, 1000000, 30, 1107368
O2, double, 1000000, 30, 1103686
O2, double, 1000000, 30, 1100484
O2, double, 1000000, 30, 1104030
O2, double, 10000000, 20, 13391080
O2, double, 10000000, 20, 13336936
O2, double, 10000000, 20, 13281160
O2, double, 10000000, 20, 13322864
O2, double, 10000000, 20, 13271480
O2, double, 10000000, 20, 13299426
O2, double, 10000000, 20, 13195452
O2, double, 10000000, 20, 13168468
O2, double, 10000000, 20, 13491826
O2, double, 10000000, 20, 13506784
O2, double, 10000000, 20, 13222526
O2, double, 10000000, 20, 13242262
O2, double, 10000000, 20, 13273974
O2, double, 10000000, 20, 13126006
O2, double, 10000000, 20, 13338514
O2, double, 10000000, 20, 13198118
O2, double, 10000000, 20, 13202122
O2, double, 10000000, 20, 13462960
O2, double, 10000000, 20, 13282268
O2, double, 10000000, 20, 13307116
O2, double, 100000000, 15, 132311664
O2, double, 100000000, 15, 132187620
O2, double, 100000000, 15, 135886088
O2, double, 100000000, 15, 135215222
O2, double, 100000000, 15, 134427802
O2, double, 100000000, 15, 133034692
O2, double, 100000000, 15, 132391524
O2, double, 100000000, 15, 133705512
O2, double, 100000000, 15, 133501122
O2, double, 100000000, 15, 132787366
O2, double, 100000000, 15, 131560326
O2, double, 100000000, 15, 134660412
O2, double, 100000000, 15, 131504604
O2, double, 100000000, 15, 135148076
O2, double, 100000000, 15, 133858514
O3, int, 1000000, 30, 360214
O3, int, 1000000, 30, 352996
O3, int, 1000000, 30, 352560
O3, int, 1000000, 30, 352564
O3, int, 1000000, 30, 401534
O3, int, 1000000, 30, 352602
O3, int, 1000000, 30, 352796
O3, int, 1000000, 30, 352698
O3, int, 1000000, 30, 352728
O3, int, 1000000, 30, 358780
O3, int, 1000000, 30, 352804
O3, int, 1000000, 30, 352508
O3, int, 1000000, 30, 352864
O3, int, 1000000, 30, 352696
O3, int, 1000000, 30, 358648
O3, int, 1000000, 30, 353164
O3, int, 1000000, 30, 352934
O3, int, 1000000, 30, 352776
O3, int, 1000000, 30, 353100
O3, int, 1000000, 30, 359130
O3, int, 1000000, 30, 354030
O3, int, 1000000, 30, 352724
O3, int, 1000000, 30, 352790
O3, int, 1000000, 30, 352844
O3, int, 1000000, 30, 358652
O3, int, 1000000, 30, 358586
O3, int, 1000000, 30, 352470
O3, int, 1000000, 30, 352864
O3, int, 1000000, 30, 352632
O3, int, 1000000, 30, 358596
O3, int, 10000000, 20, 5692204
O3, int, 10000000, 20, 5625996
O3, int, 10000000, 20, 5693466
O3, int, 10000000, 20, 5699324
O3, int, 10000000, 20, 5680776
O3, int, 10000000, 20, 5674800
O3, int, 10000000, 20, 5691984
O3, int, 10000000, 20, 5682670
O3, int, 10000000, 20, 5623354
O3, int, 10000000, 20, 5659312
O3, int, 10000000, 20, 5632364
O3, int, 10000000, 20, 5702066
O3, int, 10000000, 20, 5699498
O3, int, 10000000, 20, 5689246
O3, int, 10000000, 20, 5654450
O3, int, 10000000, 20, 5668344
O3, int, 10000000, 20, 5688048
O3, int, 10000000, 20, 5666654
O3, int, 10000000, 20, 5678840
O3, int, 10000000, 20, 5645222
O3, int, 100000000, 15, 56715568
O3, int, 100000000, 15, 56501652
O3, int, 100000000, 15, 55932444
