type,variant,input,n,rep,time_ns
int B D 10000000 2786368.00
int B D 10000000 2789804.00
int B D 10000000 2773454.00
int B D 10000000 2754124.00
int B D 10000000 2773542.00
int B D 10000000 2759884.00
int B D 100000000 38059578.00
int B D 100000000 37928646.00
int B D 100000000 38045196.00
int B D 100000000 38006404.00
int B D 100000000 37932046.00
int B D 100000000 37971256.00
int B D 100000000 37977500.00
int B D 100000000 37929022.00
int B D 100000000 38029598.00
int B D 100000000 38011362.00
int B D 100000000 37977468.00
int B D 100000000 38021768.00
int B D 100000000 38046534.00
int B D 100000000 37928926.00
int B D 100000000 37968454.00
int B R 1000000 149098.00
int B R 1000000 150006.00
int B R 1000000 149672.00
int B R 1000000 149900.00
int B R 1000000 149796.00
int B R 1000000 154420.00
int B R 1000000 149672.00
int B R 1000000 149662.00
int B R 1000000 149832.00
int B R 1000000 149740.00
int B R 1000000 149960.00
int B R 1000000 154014.00
int B R 1000000 149448.00
int B R 1000000 149844.00
int B R 1000000 149850.00
int B R 10000000 2770900.00
int B R 10000000 2792602.00
int B R 10000000 2776704.00
int B R 10000000 2789278.00
int B R 10000000 2760120.00
int B R 10000000 2783478.00
int B R 10000000 2749758.00
int B R 10000000 2812432.00
int B R 10000000 2759028.00
int B R 10000000 2792096.00
int B R 10000000 2750480.00
int B R 10000000 2807844.00
int B R 10000000 2765132.00
int B R 10000000 2775524.00
int B R 10000000 2746312.00
int B R 100000000 38004096.00
int B R 100000000 38123698.00
int B R 100000000 37935698.00
int B R 100000000 38054544.00
int B R 100000000 37985488.00
int B R 100000000 37990304.00
int B R 100000000 38053008.00
int B R 100000000 38013960.00
int B R 100000000 38056352.00
int B R 100000000 38007894.00
int B R 100000000 37978780.00
int B R 100000000 37924948.00
int B R 100000000 38059784.00
int B R 100000000 37916186.00
int B R 100000000 37872650.00
double A A 1000000 1131018.00
double A A 1000000 1088196.00
double A A 1000000 1088072.00
double A A 1000000 1087522.00
double A A 1000000 1089366.00
double A A 1000000 1087960.00
double A A 1000000 1092078.00
double A A 1000000 1087952.00
double A A 1000000 1087624.00
double A A 1000000 1087532.00
double A A 1000000 1087220.00
double A A 1000000 1087992.00
double A A 1000000 1089556.00
double A A 1000000 1089048.00
double A A 1000000 1088966.00
double A A 10000000 12476204.00
double A A 10000000 12467714.00
double A A 10000000 12461184.00
double A A 10000000 12453008.00
double A A 10000000 12460724.00
double A A 10000000 12458974.00
double A A 10000000 12462816.00
double A A 10000000 12455000.00
double A A 10000000 12462780.00
double A A 10000000 12456872.00
double A A 10000000 12462736.00
double A A 10000000 12463242.00
double A A 10000000 12470612.00
double A A 10000000 12461282.00
double A A 10000000 12464296.00
double A A 100000000 127973846.00
double A A 100000000 127976716.00
double A A 100000000 127966728.00
double A A 100000000 127914076.00
double A A 100000000 127948844.00
double A A 100000000 127867574.00
double A A 100000000 127859086.00
double A A 100000000 127855652.00
double A A 100000000 128015412.00
double A A 100000000 127998122.00
double A A 100000000 128037768.00
double A A 100000000 128683750.00
double A A 100000000 127948798.00
double A A 100000000 128577562.00
double A A 100000000 127860932.00
double A D 1000000 1088082.00
double A D 1000000 1087782.00
double A D 1000000 1087460.00
double A D 1000000 1091776.00
double A D 1000000 1089504.00
double A D 1000000 1087562.00
double A D 1000000 1087808.00
double A D 1000000 1090618.00
double A D 1000000 1091490.00
double A D 1000000 1087616.00
double A D 1000000 1087928.00
double A D 1000000 1087242.00
double A D 1000000 1087916.00
double A D 1000000 1087510.00
double A D 1000000 1087220.00
double A D 10000000 12455648.00
double A D 10000000 12455616.00
double A D 10000000 12463728.00
double A D 10000000 12472492.00
double A D 10000000 12462806.00
double A D 10000000 12467232.00
double A D 10000000 12456548.00
double A D 10000000 12457500.00
double A D 10000000 12466568.00
double A D 10000000 12458346.00
double A D 10000000 12447212.00
double A D 10000000 12439266.00
double A D 10000000 12453162.00
double A D 10000000 12451794.00
double A D 10000000 12448814.00
double A D 100000000 127993680.00
double A D 100000000 127982036.00
double A D 100000000 128021792.00
double A D 100000000 128018152.00
double A D 100000000 127960352.00
double A D 100000000 127872428.00
double A D 100000000 127871874.00
double A D 100000000 127852510.00
double A D 100000000 127858722.00
double A D 100000000 127844068.00
double A D 100000000 127920282.00
double A D 100000000 128743280.00
double A D 100000000 127969178.00
double A D 100000000 128700216.00
double A D 100000000 127959048.00
double A R 1000000 1088076.00
double A R 1000000 1087918.00
double A R 1000000 1087672.00
double A R 1000000 1087756.00
double A R 1000000 1087968.00
double A R 1000000 1087272.00
double A R 1000000 1087112.00
double A R 1000000 1090690.00
double A R 1000000 1087114.00
double A R 1000000 1086890.00
double A R 1000000 1087212.00
double A R 1000000 1087178.00
double A R 1000000 1088874.00
double A R 1000000 1088442.00
double A R 1000000 1087760.00
double A R 10000000 12436340.00
double A R 10000000 12431068.00
double A R 10000000 12427152.00
double A R 10000000 12443706.00
double A R 10000000 12431522.00
double A R 10000000 12427484.00
double A R 10000000 12427746.00
double A R 10000000 12431520.00
double A R 10000000 12439344.00
double A R 10000000 12442798.00
double A R 10000000 12443704.00
double A R 10000000 12431522.00
double A R 10000000 12424330.00
double A R 10000000 12426458.00
double A R 10000000 12445144.00
double A R 100000000 128027876.00
double A R 100000000 128005870.00
double A R 100000000 127982428.00
double A R 100000000 128022086.00
double A R 100000000 128779288.00
double A R 100000000 128036716.00
double A R 100000000 128366106.00
double A R 100000000 128306456.00
double A R 100000000 127946912.00
double A R 100000000 128585274.00
double A R 100000000 127911198.00
double A R 100000000 127872834.00
double A R 100000000 127912644.00
double A R 100000000 128756128.00
double A R 100000000 128036932.00
double B A 1000000 1087816.00
double B A 1000000 1091558.00
double B A 1000000 1089990.00
double B A 1000000 1088012.00
double B A 1000000 1087864.00
double B A 1000000 1088134.00
double B A 1000000 1087688.00
double B A 1000000 1087684.00
double B A 1000000 1087858.00
double B A 1000000 1087062.00
double B A 1000000 1087458.00
double B A 1000000 1087320.00
